,Cardiomyocytes_corr,Cardiomyocytes_pval,Cardiomyocytes_qval,Cardiomyocytes_ci_low,Cardiomyocytes_ci_high,gene_annotation
ENSMUSG00000037098,0.014537175347185825,1.4017319046394604e-05,1.6942510570919132e-05,0.007977938423560434,0.021095161362097284,Rab11fip3
ENSMUSG00000062793,0.014536909601687464,1.4022389460464652e-05,1.694780476682722e-05,0.007977672638808423,0.021094895678710025,Olfr1158
ENSMUSG00000090497,0.014528210786866459,1.418933163134728e-05,1.7147886897658908e-05,0.007968972539584653,0.021086198896499566,Gm17611
ENSMUSG00000063376,0.01451804877917503,1.4386755135541566e-05,1.7383907283223413e-05,0.00795880903270382,0.021076039262059084,Ifna13
ENSMUSG00000090581,0.014507392931313104,1.4596585072184384e-05,1.76339790725912e-05,0.007948151614252386,0.02106538590132556,Vmn2r6
ENSMUSG00000075567,0.014495994096777732,1.4824274947630763e-05,1.790640551580392e-05,0.007936751101266588,0.02105398972568678,Krtap1-4
ENSMUSG00000085469,0.014486156738383623,1.5023493370075597e-05,1.8146150893988096e-05,0.007926912295716352,0.021044154660588746,Gm14242
ENSMUSG00000075566,0.014480488847895009,1.5139431361923776e-05,1.828528722933651e-05,0.007921243572011192,0.02103848809082883,Krtap4-6
ENSMUSG00000107948,0.01447767480043408,1.5197309759797836e-05,1.8353386582516306e-05,0.00791842911102371,0.02103567469893916,AA545190
ENSMUSG00000095044,0.014477524813784377,1.5200400549819875e-05,1.83562163346209e-05,0.007918279102336263,0.021035524747228,Gm6401
ENSMUSG00000094811,0.014473784104340939,1.5277679872876668e-05,1.8447725187570352e-05,0.007914537843360792,0.021031784909066382,Gm21103
ENSMUSG00000016283,0.014473008121168631,1.5293757753852755e-05,1.8465322860712707e-05,0.007913761746215026,0.021031009106612215,H2-M2
ENSMUSG00000091771,0.014471591201917931,1.5323157053681175e-05,1.849990912578581e-05,0.007912344618873005,0.021029592517326397,Vmn2r103
ENSMUSG00000046717,0.014470749946829698,1.534063752591615e-05,1.8520102893066496e-05,0.007911503240248995,0.021028751458132877,Igbp1b
ENSMUSG00000110015,0.014464190540037496,1.547758921461092e-05,1.868360147485753e-05,0.00790494287054618,0.0210221935784462,Gm45347
ENSMUSG00000096069,0.01445527868510711,1.566552544830529e-05,1.8908607286111375e-05,0.007896029708274185,0.0210132837973942,Olfr61
ENSMUSG00000101810,0.014454349991612912,1.5685234735182944e-05,1.893146609075861e-05,0.007895100878603482,0.021012355319956398,1700066C05Rik
ENSMUSG00000069720,0.014453198311741812,1.5709709206139435e-05,1.896007375653224e-05,0.007893949029874581,0.02101120390800277,4930572O03Rik
ENSMUSG00000091718,0.014448524935113524,1.580939772116502e-05,1.9079450100768954e-05,0.007889274968220544,0.021006531618372418,Gm16506
ENSMUSG00000107614,0.014448214977557884,1.5816030752624384e-05,1.9086516934796455e-05,0.007888964965241317,0.021006221732900822,Gm44196
